term,definition,register_id,legislation_reference
Schedule 1 offence,"refers to offences listed in Schedule 1 of the Act. Schedule 1 offences include, but are not limited to: an indictable offence against the law of Victoria a Schedule 2 offence specified summary offences an interstate offence.",145,Confiscation Act 1997
Schedule 2 offence,"refers to offences listed in Schedule 2 of the Act. Schedule 2 offences constitute serious criminal activity and include, but are not limited to offences against certain provisions of the following Acts: Drugs, Poisons and Controlled Substances Act 1981 Crimes Act 1958 Casino Control Act 1991 Fisheries Act 1995 Firearms Act 1996.",145,Casino Control Act 1991; Crimes Act 1958; Firearms Act 1996; Fisheries Act 1995; Poisons and Controlled Substances Act 1981
Tainted property,"defined in s.3, the Act. Broadly, tainted property is property which has been used in or derived from the commission of an offence, or is the subject of a proceeds of crime offence. In civil forfeiture related matters, property is tainted if police suspect on reasonable grounds it was used in or derived from the commission of a Schedule 2 offence, or the proceeds of a Schedule 2 offence.",145,Firearms Act 1996
Unexplained wealth,is the difference between a person's total wealth and their lawfully acquired wealth.,145,
Wealth (of a person),"defined in s.40BA, the Act means the total value of all of the following: property in which a person has an interest or which is under their effective control benefits the person derives including benefits another derives at the request of the person services and advantages a person obtains including services and advantages another person obtains at the direction or request of the person.",145,Firearms Act 1996
Destruction,"to damage an item so that it no longer exists or can no longer be used. For the purposes of this policy, this has the same meaning as ""disposal"". Similarly, destroy and dispose of, have the same meaning.",146,
Immediate,"as soon as practicable after a drug or related item has been certified for destruction in accordance with ss.81 and 91, DPCSA.",146,Poisons and Controlled Substances Act 1981
Narcotic plant material,includes opium poppies; also referred to as Green Vegetable Matter (GVM) in PALM.,146,
Exhibit,"for the purpose of this policy, an exhibit is: a document or object that has or is intended to be exhibited in court or referred to and identified in written evidence; or physical material of any description obtained during the investigation of a crime which has probative value in relation to a finding of fact.",147,
Finding of Fact,"the conclusions of a judge, magistrate, jury or administrative tribunal regarding the underlying facts of the case under consideration.",147,
Property,"an item of any description, whether situated within or outside Victoria and whether tangible or intangible that is in police possession for the purpose of investigation or as a result of surrender or seizure. This includes any interest in any such real or personal property as defined in the Confiscations Act 1997.",147,Confiscations Act 1997
Serious crime,an offence (including an attempt) resulting from a Category 1 or Category 2 incident as identified by the Accountability & Resource Model (ARM) or otherwise determined by the Investigation & Response Inspector.,147,
Unsolved serious crime,"an investigation in which all relevant investigation actions have been completed with one or more of the following outcomes: no person has been identified, charged and prosecuted a person has been charged but a finding of guilt has not been recorded and the investigation will continue pending further evidence there has been a finding of guilt against a person but proceedings against one or more co-accused are yet to be resolved there is evidence of a co-offender who is yet to be identified or prosecuted. Refer to the general VPM Dictionary for further definitions and acronyms.",147,
Cryptocurrency wallet,"cryptocurrency wallets may be: hardware wallets are small, USB-style devices used to secure cryptocurrency software wallets are cryptocurrency applications that exist on an internet-enabled device such as a mobile phone, tablet or laptop.",148,
Aboriginal Children in Aboriginal Care (ACAC),"the established program of children protection services and facilities which gives ACCOs legal responsibility for Aboriginal children and any non-Aboriginal siblings who have been placed on a Children's Court protection order. Examples of ACAC providers are the Victorian Aboriginal Child and Community Care Agency's Nugel program, and the Bendigo and District Aboriginal Cooperative's Mutjang Bupuwingarrak Mukman program. References to Child Protection in this policy include ACAC providers acting in authorised cases.",149,
Aboriginal Community Controlled Organisations (ACCOs),"an organisation incorporated under the Corporations (Aboriginal and Torres Strait Islander) Act 2006 (Cth) and managed by a board of Aboriginal people for the purpose of serving a local Aboriginal community. ACCOs which have been authorised to provide care and protection to Aboriginal and/or Torres Strait lslander children or children from those families, may exercise specific powers in relation to those children. The Secretary of the Department of Families, Fairness and Housing (DFFH) approves ACCOs to be ACAC providers.",149,
Best interests of the child,"a phrase which summarises the best interest principles set out in s.10 Children, Youth and Families Act 2005 (CYFA). The best interests of the child must always be the highest priority in decision-making by police officers.",149,Youth and Families Act 2005
Child,"for the purposes of this policy, a child, young person or adolescent who is aged between 0-17 years (inclusive). In certain circumstances, the terms 'young person' or adolescent' is used instead due to their age category. There may be instances where the legal obligations towards these groups differ to other children; this will be specifically identified in the policy. Refer to the Protecting Children Protocol available on the intranet for further information.",149,
Child abuse,"any action, or lack of action, that significantly harms a child's physical, psychological, or emotional health and development. A person committing child abuse does not always have an intention to harm or cause injury to a child. Child abuse includes physical abuse, sexual abuse, emotional abuse, and neglect, including exposure to or witnessing of family violence. Family violence often co-occurs with child abuse.",149,
Child sexual exploitation,"a form of child abuse where an individual or group takes advantage of a child's vulnerability and creates an imbalance of power to coerce, manipulate, or deceive the child into sexual activity in exchange for something the child needs or wants, for example, money, gifts or accommodation, or less tangible goods such as affection or status.",149,
Child Protection,the lead agency for the protection of children in Victoria. Child Protection is part of DFFH and works for children and young people who are at risk of harm or where families are unable or unwilling to protect them. References to Child Protection in this policy include ACAC providers acting in authorised cases.,149,
Children's Court Search Warrant,"Search warrants, which includes Emergency Care Warrants (previously known as Safe Custody Warrants) that are issued under various provisions of the Children, Youth and Families Act 2005 (CYFA). Each search warrant authorise police to break, enter and search any place for the child named in the warrant. Depending on the provision under which the warrant (which includes an emergency care warrant) was issued, and any endorsements on the warrant, the child can be: placed in emergency care apprehended and brought before a Court or bail justice released on an Interim Accommodation Order transported to DFFH to facilitate an application for a Temporary Assessment Order.",149,Youth and Families Act 2005
DFFH,the Victorian State Government agency whose responsibilities include child protection and prevention of family violence.,149,
Emergency Care,"(previously known as safe custody) means placement in accordance with s. 242(5) or 247A(4), CYFA in an Out of Home Care service, in a secure welfare facility, or in accommodation approved by the Secretary pending an application for an Interim Accommodation Order or a Therapeutic Treatment application.",149,Youth and Families Act 2005
Mandatory reporter,"occupational groups, including police officers under s.182, CYFA that are legally required to make a report to a protective intervener where they form a reasonable belief that a child has suffered, or is likely to suffer, significant harm as a result of physical or sexual abuse, and the child's parents have not protected, or are unlikely to protect, the child from that abuse.",149,Youth and Families Act 2005
Out of Home Care (OoHC),"provided to children and young people who are unable to reside with their families due to abuse or neglect. OoHC includes: kinship care (placement with extended family and/or significant others) home-based care (foster care, therapeutic foster care, and young people community placement) residential care (facility-based care with paid staff).",149,
Protective intervener,"a person who has a legal obligation to intervene when a child needs protection. Police officers are protective interveners under s.181, CYFA.",149,Youth and Families Act 2005
Protecting Children Protocol,"a formalised arrangement between DFFH, ACAC and Victoria Police which sets out how these agencies will undertake and coordinate their work to improve outcomes for children and their families. Refer to the Protecting Children Protocol available on the intranet or the Corporate Formal Arrangements Register for further information.",149,
The Orange Door,"the primary access point across Victoria to local services for families who need assistance with the care and wellbeing of children, or who are experiencing family violence. Vulnerable children, young people, and their families (including families with an unborn child) can be referred to The Orange Door by any police officer. Individuals can also self-refer.",149,
Therapeutic Treatment Order (TTO),"an order from the Children's Court that ensures a child has access to, or attendance at, an appropriate therapeutic treatment program for sexually abusive behaviours. The TTO may be issued following a report to Child Protection (s.185, CYFA) that a child needs therapeutic treatment. TTOs are made in the Family Division of the Children's Court when the Court is satisfied that a child has exhibited sexually abusive behaviours.",149,Youth and Families Act 2005
Beat,"a public space used by people for social and/or sexual contact with other people. Beats can vary by location and may occur in beaches, parks, public toilet blocks, or public car parks.",151,
Beat user,a person attending a beat location for the purposes of social and/or sexual contact.,151,
Outing,the disclosure of an individual's sexual or gender identity without their consent and/or knowledge.,151,
Gratuity,"is an additional sum of money paid to a Victoria Public Service (VPS) employee in recognition of 'special work' they have completed, in addition to their substantive position duties.",153,
Special work,"means tasks performed of demonstrably higher work value, or where a greater rate of pay is already established in Victoria Police for the same work.",153,
Information reports,"reports that contain information that may have value for intelligence but are not otherwise recorded in Victoria Police IT systems. The information in IRs can contain opinions, observations, or hearsay relating to any subject, and need not be of an evidentiary standard. IRs may provide insight into suspicious behaviour, trends, or issues that may require further investigation or assist future investigations.",156,
Intelligence,"a reported assessment of an issue, which is produced through a process of collection, collation, and analysis of available information. Intelligence in Victoria Police is produced when available data and information is analysed and contextualised to provide insights into crime, counter terrorism, road trauma, family violence, public order, and safety issues to support decision-makers.",156,
Intelligence practitioner,"an employee who has completed Victoria Police's intelligence practitioners' course or equivalent and is working in an intelligence role, whether in an intelligence unit or attached to other units in an intelligence capacity (e.g., Tactical Intelligence Officers).",156,
Registered operator,"the person or business listed against the vehicle on the Vic Roads database. Registered operator includes the owner, the driver or their representative, dependent upon the circumstances.",160,
Urgent duty driving,"occurs when a police member drives or positions a police vehicle in such a manner that requires them to breach one or more of the provisions of the Road Safety Road Rules 2017 (RSRR), in order to immediately respond to an incident or to carry out their duties as a police member. This includes utilising a police vehicle in a stationary position, which breaches a Road Rule (whether the vehicle lights and/or siren are used or not).",161,Road Safety Road Rules 2017
Authorised Officer,police officer of or above the rank of Assistant Commissioner who has been delegated the authority to declare an area to be designated (instrument of delegation GP 2),163,
child,a person under the age of 18 years (s.3(1)),163,
designated area,an area in respect of which a declaration under s.10D or 10E is in effect (s.10C).,163,
search,as prescribed in Schedule 1 of the Act,163,The Control of Weapons Act 1990
PSO,Protective Services Officer,163,
thing,"includes any object, article or material (s.10C)",163,
weapon,a prohibited or controlled weapon or dangerous article (s.10C) Gender definitions can be found in VPM Trans and gender diverse inclusion. Also refer to the general VPM Dictionary for definitions and acronyms.,163,
Electronic device search,"a search with an electronic searching device. It does not extend to a pat down search. This is also known as a 'Formal Search' under s. 104B, Corrections Act 1986. Any subsequent reference to Electronic Device Search in this VPM includes a Formal Search in relation to police gaols and the Corrections Act. Full search (also known as a ""strip search"" under the Control of Weapons Act 1990) - any search that goes beyond what is permitted by a pat down search is a full search. Full searches may or may not involve the removal of clothing, for example, requiring a person to move clothing to allow a visual examination of the person's genitals, buttocks, breasts or underwear (underpants and bra) is a full search. Full searches may involve the removal and examination of all clothing (including inner clothing) but must not involve the removal of more clothing than the person conducting the search believes on reasonable grounds to be necessary. Full searches generally will not include physical contact with the person's body.",164,Control of Weapons Act 1990; Corrections Act 1986
Half/half technique,involves directing the person to remove the top half of their clothing for inspection and then re-dress before removing the bottom half of their clothing. See sections 3.4-3.6 of this policy for further requirements.,164,
Intrusive body search,involves a search/examination of body cavities undertaken by a registered medical practitioner in a hospital.,164,
Pat-down search,"involves requiring a person to empty their pockets and/or submit to an external 'pat-down' involving physical contact by a police officer, PSO, SPCO or PCO over a person's clothing, taking no more time than reasonably necessary to safely carry out the search. It may involve the removal and examination of headgear, shoes, socks, outer clothing and handbags or other things carried by the person. It does not include the removal of inner clothing.",164,
Visual search,"a search undertaken before a pat down search, to identify any objects that may be concealed/pose a risk to the searcher before undertaking a pat down search. Also refer to the general VPM Dictionary for definitions and acronyms.",164,
Exempt person,a person who is exempt from the requirement to be registered under the SHDP or the Regulations.,166,Pawnbrokers Act 1989
Exempt goods,"goods which a SHD can pay cash for and does not need to keep records in relation to, including: goods collected under a local government recycling scheme all clothing kitchenware and tableware (excluding electrical appliances, and any glassware or cutlery where the SHD pays more than $100) cans of any kind waste plastic and paper salvaged building materials domestic whitegoods (e.g. washing machines, ovens, refrigerators) excluding portable refrigerators and microwaves factory seconds books and magazines.",166,
Interim closure notice,"a notice, issued by a Sergeant or above, which prohibits a person at a specified location from carrying on business as a SHD and altering the form of any second-hand goods at the premises in any way for the period of that notice.",166,
Long term closure order,"an order, issued by a Magistrate, which closes a specified premises, or a part of those premises, in respect of any person carrying on business as a SHD for the period specified in the order. Motor vehicle A motor vehicle within the meaning of the Road Safety Act 1986, whether in working condition or complete, or The body, engine or chassis of a motor vehicle.",166,Road Safety Act 1986
Scrap metal,"anything of commercial value that: is made from or contains metal is sold or obtained as scrap for recycling or reprocessing of the metal, but does not include any thing prescribed not to be scrap metal.",166,
Second-hand dealer,"a person who carries on the business of: buying selling exchanging, or otherwise dealing in second hand goods, whether or not they deal in other goods and regardless of where goods are bought.",166,
Registered second-hand dealer,"a person registered under Part 2 of the SHDP, which provides that a person: must not, either alone or in partnership, carry on business as a SHD unless the person is registered as a SHD who holds a motor car traders licence under the Motor Car Traders Act 1986 (LMCT) may buy, sell, exchange or otherwise deal in second-hand goods that are motor car parts without being registered as a SHD. An LMCT licence holder is subject to, and must otherwise comply with, all other provisions in the SHDP.",166,Motor Car Traders Act 1986; Pawnbrokers Act 1989
Serious criminal offence,means an offence committed in Victoria that is punishable by a term of imprisonment of two years or more.,166,
Best price of the day (airline bookings),"the lowest fare at the time of booking, provided that this fare is offered in conjunction with suitable travel times.",168,
Best price of the day (hotel bookings),"the lowest rate available at suitable hotels within reasonable distance from the main location of government business. The travel approver will determine the most appropriate star rating, based on an assessment of government business requirements and total cost of travel for available hotels (typically, room rate plus transportation costs).",168,
Domestic travel,includes both travel within Australia and to/from New Zealand.,168,
Event,"includes police and community events such as international or national conferences, externally organised leadership and professional development programs, sporting events, community engagement events, visits to other policing agencies and award ceremonies.",168,
International travel,includes travel to/from Australia and a foreign jurisdiction (except New Zealand).,168,
Non-operational travel,"includes travel for purposes including attending events, national committee meetings, study tours, non-operational training, building stakeholder relations and inspection or review of facilities, equipment or products.",168,
On duty,refers to the working hours of employment where an employee is required to report for work to perform duties of their role in accordance with the relevant enterprise agreement. This includes any periods of overtime required by the employer.,168,
Operational travel,"includes travel for purposes including interviewing offenders/witnesses, extraditions, operational training and providing support for emergencies.",168,
Required to attend,refers to instances where a manager has directed an employee to attend an event as part of their duties.,168,
Travel approver,refers to an employee who has the authority to approve staff domestic and/or international travel.,168,
Voluntary attendance,"refers to instances where an employee has elected to attend an event without approval that may broadly relate to their position or duties as an employee of Victoria Police, but it is not a requirement of their position to attend and on duty status has not been granted.",168,
Affected family member (AFM),"in a Family Violence context, defined in s.4, Family Violence Protection Act 2008 (FVPA) means the family member whose person or property is the subject of an application for an order. It is also important to acknowledge that an AFM in a family violence incident is also recognised as a victim, irrespective of whether only civil matters are engaged. Refer to VPM Family Violence for further information on Victoria Police's response to family violence incidents.",169,Family Violence Protection Act 2008
Family member,"defined in s.8, FVPA and in relation to a relevant person means a person who is, or has been, the spouse or domestic partner; or a person who has, or has had, an intimate personal relationship with the relevant person; or a person who is, or has been, a relative of that person; or a child who normally or regularly resides with that person or has previously resided with that person on a normal or regular basis; or a child of whom that person is a guardian; or a child of a person who has, or has had, an intimate personal relationship with that person; or any other person who the person regards as being like a family member having regard to the circumstances of the relationship as outlined in s.8(3), FVPA.",169,Family Violence Protection Act 2008
Injury,"defined in s.3, Victims' Charter, for the purpose of this policy means actual physical bodily injury; or mental illness or disorder, or an exacerbation of a mental illness or disorder, whether or not flowing from nervous shock; or pregnancy; or grief, distress or trauma or other significant adverse effect; or loss or damage to property; or any combination referred to in the above points.",169,Charter Act 2006
Investigatory agency,"defined in s.3, Victims' Charter, means a police officer; or a person authorised to investigate a criminal offence",169,Charter Act 2006
Persons adversely affected by crime,"defined in s.3, Victims' Charter, means a person who has suffered injury as a direct result of a criminal offence, whether or not that injury was reasonably foreseeable by the offender a family member of a person referred to in the point above a witness to a criminal offence.",169,Charter Act 2006
Prosecuting agency,"defined in s.3, Victims' Charter, means the Director of Public Prosecutions for Victoria; or a police officer; or a person authorised to bring proceedings for a criminal offence against an enactment.",169,Charter Act 2006
Publish,"defined in s.3, Open Courts Act 2013 means to disseminate or provide access to the public or a section of the public by any means, including by: publication in a book, newspaper, magazine or other written publication; or broadcast by radio or television; or public exhibition; or broadcast or electronic communication and publication must be construed accordingly.",169,Open Courts Act 2013
Relative,"defined in s.10, FVPA means any of the following whether of the whole blood or half-blood or by marriage, and whether or not the relationship depends on adoption of the person: the person's father, mother, grandfather or grandmother; the person's son, daughter, grandson or granddaughter; the person's brother or sister; the person's uncle or aunt; the person's nephew or niece; the person's cousin; and for an Aboriginal and/or Torres Strait Islander person it includes a person who, under Aboriginal or Torres Strait Islander tradition or contemporary social practice, is the person's relative. For domestic partners, a relative includes a person who would be a relative if the domestic partners were married to each other.",169,Family Violence Protection Act 2008
Victim,"as defined in s.3, Victims' Charter, means a person who has suffered injury as a direct result of a criminal offence, whether or not that injury was reasonably foreseeable by the offender; or if the person referred to above has died as a direct result of the criminal offence committed against them, a family member of the person; or if the person referred to in dot point one above, is under 18 years of age, or is incapable of managing their own affairs because of mental impairment, a family member of that person in the case of an offence under section 49M, Crimes Act 1958 (grooming for sexual conduct with a child under the age of 16), the child and a family member of that child. This definition applies whether or not the offender meets the minimum age of criminal responsibility at the time of the offence.",169,Charter Act 2006; Crimes Act 1958
Victim impact statement,"defined in s.8L, Sentencing Act 1991, means a statement made by a victim under section 8K(1). Section 8K(1) means a victim of a criminal offence may make a statement to the court sentencing the person found guilty of the offence, and unless the court orders otherwise, that statement may be considered by the court in determining the sentence of the offender.",169,Sentencing Act 1991
Anti-discrimination legislation,a term that refers to the Disability Discrimination Act 1992 (Cth) and the Equal Opportunity Act 2010 (Vic).,171,Disability Discrimination Act 1992; Equal Opportunity Act 2010
Assistance dog,"any dog which has been specifically trained by an accredited assistance dog provider (such as Assistance Dogs Australia) in any jurisdiction (as determined by Assistance Dogs International) in accordance with the respective federal and state legislative requirements, to assist a person with a disability to alleviate the effect of the disability. Assistance dogs are trained to meet standards of hygiene and behaviour that are appropriate for a dog in a public place. There are three types of assistance dogs: service dogs (trained to assist their owner in ways specific to their needs, including owners with physical, sensory or psychological disabilities including post-traumatic stress disorder (PTSD), autism and dementia), guide dogs (for people with vision impairment), and hearing dogs (for people with hearing impairment).",171,
Disability,"as defined in anti-discrimination legislation, disability includes physical, intellectual, psychiatric and immunological impairments, learning disabilities and physical disfigurement. A person who has been diagnosed and is living with PTSD meets the criteria for a disability.",171,
Engagement dog,"a trained support dog which has been specifically trained by an accredited assistance dog provider to help in stressful situations and have a positive effect on a person's mental health and well-being. These dogs can otherwise be known as welfare, peer support or therapy dogs and within Victoria Police are used to support a work area or workplace rather than an individual employee.",171,
Other dogs,"refers to puppies or dogs that may be in training and in the workplace, such as a guide dogs or Australian Border Force detector dogs.",171,
Police member,"includes police employees on executive officer contracts and employees whose terms and conditions of employment are subject to Victoria Police (Police Officers, Protective Services Officers, Police Reservists and Police Recruits) Enterprise Agreement 2025 or any successor enterprise agreement.",171,
Victorian Public Service (VPS) employee,"means an employee of Victoria Police whose employment is covered by the Victorian Public Service Enterprise Agreement 2024 or any successor enterprise agreement (including Police Custody Officers and Forensic Officers), or an executive employee of Victoria Police covered by an executive contract of employment.",171,
Work area,"a work area may refer to any of the following: region, department, division, police service area (PSA), cluster, station, unit or branch.",171,
Workplace,a workplace is the location where work duties are undertaken.,171,
Access,"Refers to the ease with which people are able to use services and/or resources. This includes access to buildings, car park spaces, facilities, resources, services and programs, equipment, signs, information, training programs, etc.",172,
Disability,"Includes physical, mental, intellectual or sensory impairments which in interaction with various barriers may hinder full and effective participation on an equal basis with others.",172,
Functional capacity evaluation,Assess whether the person is able to perform the inherent requirements of the job based on their level of function. The Victoria Police Medical Advisory Unit may conduct this evaluation in conjunction with specialist units as part of their medical assessment process (e.g. whether the person can put on and take off the equipment belt in an alternate manner).,172,
Inherent requirements,Functions that are a necessary part of the job.,172,
Unjustifiable hardship,A term used in the Disability Discrimination Act 1992 which describes how to determine whether an adjustment is reasonable.,172,Disability Discrimination Act 1992
Term,Definition,173,
Bullying,"Bullying means repeated, unreasonable behaviour, by an individual or group, directed towards a person or group that creates a risk to health and safety. Repeated refers to occurring more than once Unreasonable behaviour means behaviour that a reasonable person, having regard to all the circumstances, would expect to humiliate, intimidate, undermine or threaten Behaviour includes actions of individuals or groups and may involve using a system of work as a means of victimising, humiliating, undermining or threatening Risk to health and safety includes risk to the mental or physical health and safety of a person. Bullying can be upwards (directed towards a manager or supervisor), sideways (directed at a colleague) or downwards (directed towards an employee of a lower rank or classification). Bullying can, in some circumstances, constitute a criminal offence under the Crimes Act 1958 (including Brodie's Law which covers serious bullying). A criminal charge may be laid where there are assaults or threats, abusive or offensive words or acts, stalking and cyber-stalking. Examples of bullying Examples of the types of behaviour, where repeated or occurring as part of a pattern of behaviour, that may be considered bullying include (but are not limited to): verbal abuse e.g. being sworn at, threatened, insulted, name calling, humiliating practical jokes, belittling and humiliation, shouting or yelling unfair allocation of tasks, rosters, hours of work and/or benefits deliberately withholding necessary work-related information or resources, or supplying incorrect information teasing or regularly making someone the brunt of jokes spreading gossip, rumours and innuendo of a malicious or undermining nature deliberately isolating or marginalising a person from normal workplace activities intimidating a person through inappropriate personal comments, belittling opinions or unjustified criticism inappropriate tampering with an individual's personal effects or equipment mobbing - this occurs when a number of individuals target one person with disrespectful and harmful behaviour. What is not bullying? Bullying does not include: reasonable management action taken in a reasonable way (see Definition below) a single incident of unreasonable behaviour. A single incident may however fall into the categories of harassment or may be a criminal act inter-personal conflict (see Definition below) or difference of opinion, which does not involve the kinds of harmful behaviours listed above.",173,Crimes Act 1958
Conflict of interest,"A conflict of interest is where an employee has private interests or relationships that could improperly influence, or be seen to influence, their decisions or actions in the performance of their duties. A conflict of interest can be real, perceived or potential. (See VPM Conflict of interest).",173,
Discrimination,"Discrimination is treating, or proposing to treat, someone unfavourably because of a personal attribute protected by law. Direct Discrimination means to treat someone with a particular attribute unfavourably because of that attribute. Indirect Discrimination means to impose, or propose to impose, a requirement, condition or practice that has, or is likely to have, the effect of disadvantaging persons with an attribute, and that requirement, condition or practice is not reasonable. The personal attributes protected by State and Commonwealth discrimination laws are: age carer and parental status disability (including physical, sensory and intellectual disability, work related injury, medical conditions, and mental, psychological and learning disabilities) employment activity gender identity, lawful sexual activity and sexual orientation industrial activity marital status physical features political belief or activity pregnancy and breastfeeding race (including colour, nationality, ethnicity and ethnic origin) religious belief or activity sex expunged homosexual conviction personal association with someone who has, or is assumed to have, one of these personal characteristics. It is also against the law to sexually harass or victimise someone, or to vilify someone because of their race or religion.",173,
Grooming,"Grooming is the process by which a person prepares a victim for, and strengthens, a pattern of sexual abuse. First, the perpetrator grooms the victim and surrounding environment to establish power and control. Then the perpetrator begins to sexualise the relationship. Exploitative predatory behaviour involving grooming behaviours can occur between adults in the workplace.",173,
Harassment,"Harassment occurs when a person engages in conduct towards another person which a reasonable person with knowledge of the circumstances would expect to cause the other person to feel intimidated, insulted or humiliated. Harassing behaviour can range from serious to less serious levels. One-off incidents can still constitute harassment. Sexual harassment is a form of harassment which is dealt with separately in this policy (see Definition below). Some forms of harassment may also be discrimination. Examples of harassment Harassment may include (but is not limited to): telling jokes about particular racial groups making derogatory comments or taunts about someone's race, age, sexuality or religion making fun of someone's personal circumstances, personal appearance or mental or physical disability making remarks about a person's skin colour or ethnic traits using racist slang, phrases or nicknames. Harassment can also occur if someone is working in a hostile or intimidating environment. An example of a potentially hostile working environment is where crude, racist, homophobic or transphobic conversations, innuendo, displays of pornography or offensive jokes are part of the accepted culture.",173,
Inappropriate behaviours,"Inappropriate behaviours mean behaviours falling within the definitions of bullying, discrimination, harassment, inter-personal conflict, predatory behaviour, sexual harassment, vexatious complaints, victimisation and workplace incivility; which a reasonable person would anticipate would, or may cause, psychological or physical harm.",173,
Inter-personal conflict,"Inter-personal conflict means when a person or group of people repeatedly interfere with each other's workplace goals, preferences, values and interests through behaviours which cause workplace harm. Inter-personal conflict may arise from (but is not limited to): differing personalities differing communication and/or leadership styles differences in ideas, decisions and/or actions lack of respect. Continued inappropriate inter-personal conflict can form a pattern of unreasonable behaviour that may be considered bullying (see Definition above). Not all inter-personal conflict is accompanied by harmful behaviour. Meaningful conflict, such as debate, disagreement, constructive feedback and discussion regarding different approaches to work and goals, is a useful and healthy part of the workplace that enables teams to be more creative and ensure quality of service.",173,
Predatory behaviour,"Predatory behaviour is where a person misuses their authority or influence with the intention of exploiting another employee for sexual or other personal gratification. It is often preceded by grooming behaviours. Predatory behaviour is sexual harassment under this policy (see Definition below). Examples of predatory behaviour A senior person using their authority and influence to try to manipulate or pressure a junior employee into a sexual relationship. A People Development Command (PDC) staff member or a supervisor using their authority and influence which comes with the role of instructor or assessor to manipulate or pressure recruits or probationary constables at designated training workplaces into sexual activity or tolerating sexualised behaviour. These examples may involve 'consensual' sex or 'welcome' sexual advances, but the power imbalance and circumstances mean that the behaviour is improper.",173,
Reasonable management action,"Reasonable management action includes (but is not limited to) situations where a person is subjected to or is affected by reasonable and legitimate: strong management that is clear, firm, direct and respectful performance management processes feedback or advice about work-related behaviour and conduct preliminary inquiries into a complaint investigation and disciplinary action application of policy rules and guidelines allocation of work responsibilities or duties decisions regarding transfer and promotion decisions regarding access to training, conferences or work-related travel. Managers have fundamental rights to define and monitor how work is performed, provided the action is taken in a reasonable manner. For example, feedback or counselling which is objective and includes actions required to remedy deficiencies is reasonable. By contrast, comments that fail to provide adequate guidance as to required standards, or performance counselling that does not include actions to remedy the deficiencies, may amount to management action taken in an unreasonable manner. An injury arising from reasonable management action taken in a reasonable manner is not compensable under the Workplace Injury Rehabilitation and Compensation Act 2013.",173,Workplace Injury Rehabilitation and Compensation Act 2013
Sexual harassment,"A person sexually harasses another person if he or she makes an unwelcome sexual advance, or an unwelcome request for sexual favours, to the other person; or engages in any other unwelcome conduct of a sexual nature in relation to the other person, in circumstances in which a reasonable person, having regard to all the circumstances, would have anticipated that the other person would be offended, humiliated or intimidated (Section 92 of the Equal Opportunity Act 2010). Examples of sexual harassment Sexual harassment refers to any behaviours - physical, written or verbal - that has a sexual connotation such as: sexually suggestive comments or jokes comments about someone's body or physical appearance subjecting a person to an act of physical intimacy e.g. brushing up against them, touching, or hugging sexually suggestive behaviour e.g. requests for sex or comments with sexual connotations sexually suggestive comments or jokes making gestures or actions of a sexual nature e.g. offensive hand or body gestures inappropriate staring or leering sexually explicit or suggestive images, messages via email, SMS, social media displaying sexually suggestive or pornographic images e.g. on screen savers, photo calendars intrusive questions about someone's personal life (including their sex life) or physical appearance sexual harassment includes predatory behaviour and grooming (see Definitions above). Some types of sexual harassment can also be a criminal offence. A single act or continuing courses of conduct are equally capable of constituting sexual harassment. The intent of the harasser is not relevant. Sexual harassment may also meet the definition of discrimination under the Equal Opportunity Act. This will depend on the circumstances. For example, if the workplace culture is hostile to women, this may be both sexual harassment and sex discrimination. This is because harassing conduct may result in a woman being subject to unfavourable treatment in employment. What is not sexual harassment? Behaviour which is based on mutual attraction, friendship and respect, and which is consensual, welcome and reciprocated, is not sexual harassment. However, some sexualised behaviours and sexual relationships in the workplace, even if welcome and consensual, are inappropriate for other reasons: the sexualised behaviour may create a hostile working environment for other people based on their gender and may be discrimination a relationship may be a conflict of interest if a person's personal interests influence, or appear to influence, the impartial performance of their duties e.g. as a supervisor or assessor (see VPM Conflict of interest) some workplace relationships are not appropriate, even if consensual and welcome, because of the special power and responsibility in the professional role e.g. Academy Instructors must not have sexual relationships with recruits, students or probationary employees, Welfare Officers must not have sexual relationships with people they are supporting using work time or resources to pursue a personal relationship, or engaging in sexual activity on work time or at work premises is misconduct some kinds of sexualised behaviour may be grooming behaviour (see Definition above).",173,Equal Opportunity Act 2010
Victimisation,"Victimisation means subjecting, or threatening to subject, someone to something detrimental because they have asserted their legal rights, made or intend to make a complaint, helped someone else to make a complaint, or refused to do something because it would be discrimination, sexual harassment or victimisation. Examples of victimisation Victimisation may be constituted by (but is not limited to): threats to the employee adverse changes in the working environment e.g. inequitable roster arrangements denial of training or promotion opportunities making negative, unfounded or belittling comments exclusion by peers reprisals or threats of reprisals against an employee because the employee has made or is involved in a complaint. (See section 173 of the Victoria Police Act 2013 and section 104 of the Equal Opportunity Act).",173,Victoria Police Act 2013
Workplace harm,Workplace harm is the detrimental effects of being targeted by all forms of inappropriate behaviour from work colleagues.,173,
Workplace incivility,"Workplace incivility means low level encounters and negative behaviours that if left unchecked can lead to workplace harm. Examples of workplace incivility Workplace incivility includes (but is not limited to): acts of deliberate rudeness and discourtesy disrespectful or foul language interfering with people's belongings e.g. food, furniture or work papers inappropriate jokes, nicknames or teasing, at the expense of others.",173,
Term,Definition,174,
Affected Person,A person whose health and/or well-being is affected by the inappropriate behaviour.,174,
Complainant,The person making the complaint.,174,
